Magazine code,Date,English title,Japanese title,English Kindle,Bilingual Print,Tankōbon,Complete Collection,1979 anime,,2005 anime,,,Movie,,Short film,Notes
G2,1976-06,The Mirrorizer,かわり絵ミラー,Vol 183,,Vol +7,Vol 7,Ep 1088,,,,,,,,
G3,1976-03,The Remind'ya Bird,わすれ鳥,Vol 47,Vol 1-4,Vol 12,Vol 6,Ep 171,,Ep 608A (1071),,,,,,
G4,1976-03,Snow in March,三月の雪,Vol 155,,Vol +5,Vol 5,Ep 652,,Ep 466A (821),,,,,,
G4,1976-03,,未来の遊び百科,,,,Vol 20,,,,,,,,,
G5,1976-03,The Re-Action Recorder,アクト・コーダー,Vol 180,,,Vol 4,Ep 1129,,,,,,,,
G6,1976-03,Stick-with-it Gum,シャラガム,Vol 150,Vol 3-6,Vol +3,Vol 3,Ep 635,,Ep 759B (1312),,,,,,
G1,1976-04,Float Spray,ふんわりガス,Vol 185,,,Vol 9,Ep 1285,,,,,,,,
G2,1976-04,The Robot Paper,ロボットペーパー,Vol 45,,Vol 11,Vol 8,Ep 177,,Ep 631B (1106),,,,,,
G3,1976-04,Big G's Best Friend,ジャイアンの心の友,Vol 47,,Vol 11,Vol 7,Ep 193,,,,,,,,
G4,1976-04,The Advance Antenna,あらかじめアンテナ,Vol 46,Vol 1-4,Vol 11,Vol 6,Ep 62,Ep 1216,Ep 460B (810),,,,,,
G5,1976-04,Invasion of the Switcherators,からだの部品とりかえっこ,Vol 47,,Vol 11,Vol 5,,,Ep 221A (364),,,,,,
G6,1976-04,Fossil Fools,化石大発見！,Vol 5,,Vol 11,Vol 4,Ep 146,Ep 1393,Ep 43B (85),Ep 555A (987),,,,,
G1,1976-05,Racing Fun,ふしぎなじどうしゃ,Vol 185,,,Vol 9,Ep 549,,,,,,,,
G2,1976-05,The Hypno-Spex,さいみんグラス,Vol 46,Vol 1-4,Vol 11,Vol 8,Ep 322,Ep 1211,,,,,,,
G3,1976-05,The Invisi-Scroll,ドロン巻き物,Vol 145,,Vol +2,Vol 7,,,,,,,,,
G4,1976-05,Homing Missile,ミサイルが追ってくる,Vol 10,Vol 1-4,Vol 12,Vol 6,Ep 297,,Ep 885A (1482),,,,,,
G5,1976-05,The Chum Gum,おすそわけガム,Vol 45,Vol 1-4,Vol 11,Vol 5,Ep 188,,Ep 387A (661),,,,,,
G6,1976-05,Bride of Tutorzilla,にっくきあいつ,Vol 157,,Vol +6,Vol 4,Ep 1162,,Ep 835B (1417),,,,,,
G1,1976-06,Gone Fishing,さかなつり,Vol 185,,,Vol 9,Ep 544,,,,,,,,
G2,1976-06,The Tickle-me-flea,くすぐりノミで笑おう,Vol 184,,,Vol 8,,,,,,,,,
G3,1976-06,True Colors,ウラオモテックス,Vol 47,Vol 1-4,Vol 12,Vol 7,Ep 77,,Ep 485A (856),,,,,,
G4,1976-06,The Passport to Evil,悪魔のパスポート,Vol 51,Vol 2-5,Vol 13,Vol 6,Ep 9,,Ep 73A (142),,,,,,
G5,1976-06,Canned Noise,騒音公害をカンヅメにしちゃえ,Vol 56,Vol 1-5,Vol 15,Vol 5,Ep 325,,Ep 416B (726),Ep 899B (1498),,,,,
G6,1976-06,The BrYber Tactic,Yロウ作戦,Vol 17,,Vol 11,Vol 4,Ep 119,,Ep 28B (55),Ep 587A (1045),,,,,
SD,1976-06,The Haunted Castle,ゆうれい城へ引っこし,Vol 20,Vol 2-5,Vol 12,Vol 20,Ep 91–92,Ep 860,Ep 154A (275),Ep 774C (1332),,,,,
G1,1976-07,The Delivery Dish,とりよせつぼ,Vol 185,,,Vol 9,,,,,,,,,
G2,1976-07,Dogfighters,大空中戦,Vol 19,,Vol 12,Vol 8,Ep 19,,Ep 401A (687),,,,,,
G3,1976-07,The Portable Thundercloud,カミナリになれよう,Vol 48,Vol 1-4,Vol 12,Vol 7,Ep 67,,,,,,,,
G4,1976-07,Puddle Powder,ドンブラ粉,Vol 7,,Vol 12,Vol 6,Ep 93,,Ep 221B (365),,,,,,
G5,1976-07,Hunch-Hopper,よかん虫,Vol 9,,Vol 12,Vol 5,Ep 165,Ep 963,Ep 661B (1157),,,,,,
G6,1976-07,Defender of Justice: Masked Me!,正義のみかたセルフ仮面,Vol 5,,Vol 12,Vol 4,Ep 14,Ep 1209,Ep 171 (296),Ep 784B (1349),,,,,
G1,1976-08,Karate Juice,空手ドリンク,Vol 185,,,Vol 9,,,,,,,,,
G2,1976-08,A Real Big Guy,大男がでたぞ,Vol 48,Vol 1-4,Vol 12,Vol 8,Ep 98,Ep 1374,Ep 446A (783),,,,,,
G3,1976-08,The Pet Look-Alike Pie,ペットそっくりまんじゅう,Vol 47,,Vol 12,Vol 7,Ep 1323,,Ep 392B (672),,,,,,
G4,1976-08,The Insta-Ghost,ゆうれいの干物,Vol 48,Vol 1-4,Vol 12,Vol 6,Ep 85,Ep 1314,,,,,,,
G5,1976-08,Liquid Liquid,トロリン,Vol 141,,Vol 45,Vol 5,Ep 1453,,,,,,,,
G6,1976-08,Fusion Glue Hiking,「合体ノリ」でハイキング,Vol 156,,Vol +5,Vol 4,,,Ep 113A (213),,,,,,
SD,1976-08,Close Encounter,ハロー宇宙人,Vol 11,,Vol 13,Vol 20,Ep 109–110,,Ep 6B (12),,,,,,
G1,1976-09,The Dinky Derby,いっすんぼうし,Vol 58,Vol 2-6,Vol 16,Vol 9,Ep 201,,Ep 300B (491),,,,,,
G2,1976-09,The Pain Reflector,痛みはね返りミラー,Vol 184,,,Vol 8,Ep 391,,Ep 694A (1212),,,,,,
G3,1976-09,The Future Radio,みらいラジオ,Vol 144,,Vol +1,Vol 7,Ep 1159,,,,,,,,
G4,1976-09,The Typhoon Fan,風神さわぎ,Vol 51,,Vol 13,Vol 6,Ep 1318,,Ep 716B (1248),,,,,,
G5,1976-09,The Luvbrella,あいあいパラソル,Vol 48,Vol 2-3,Vol 12,Vol 5,Ep 94,,Ep 397A (678),,,,,,
G6,1976-09,The Weather Maker Chart,天気決定表,Vol 48,,Vol 12,Vol 4,Ep 1362,,,,,,,,
SD,1976-09,The War in the Pond,ラジコン大海戦,Vol 53,,Vol 14,Vol 20,Ep 65,,Ep 32B (63),,,,,,
G1,1976-10,Mini Typhoons,ミニたいふう,Vol 185,,Vol +7,Vol 9,Ep 327,,,,,,,,
G2,1976-10,Sonic Solidifier,声のかたまり,Vol 200,,Vol 12,Vol 8,Ep 63,,Ep 30B (59),,,,,,
G3,1976-10,Turning Straw to Gold,チョージャワラシベ,Vol 49,,Vol 13,Vol 7,Ep 295,Ep 970,Ep 564B (1006),,,,,,
G4,1976-10,The Time Bomb Badge,チクタクボンワッペン,Vol 158,,Vol +6,Vol 6,Ep 650,,Ep 642B (1126),,,,,,
G5,1976-10,The Call Button,呼びつけブザー,Vol 146,,Vol +2,Vol 5,Ep 1127,,,,,,,,
G6,1976-10,Noby's Best Friend,チューケンパー,Vol 151,,Vol +4,Vol 4,Ep 634,,Ep 193 (325),Ep 532B (946),,,,,
G1,1976-11,Monkeying Around,キングコング,Vol 185,,,Vol 9,Ep 240,,,,,,,,
G2,1976-11,Fishing Indoors,勉強べやの釣り堀,Vol 9,,Vol 12,Vol 8,Special (Ep 159A),,Ep 1A (1),,,,,,
G3,1976-11,The Statics Suit,ちく電スーツ,Vol 49,,Vol 13,Vol 7,Ep 550,,Ep 685B (1197),,,,,,
G4,1976-11,The Alien House,宇宙人の家？,Vol 53,Vol 1-5,Vol 14,Vol 6,Ep 125,Ep 1350,Ep 453B (797),,,,,,
G5,1976-11,The Magical Hands,マジックハンド,Vol 50,Vol 1-4,Vol 13,Vol 5,Ep 174,Ep 1370,Ep 347A (582),,,,,,
G6,1976-11,Shedding Like a Snake,からだの皮をはぐ話,Vol 51,Vol 2-2,Vol 14,Vol 4,Ep 251,,Ep 218A (360),,,,,,
G1,1976-12,The Arrow to School,弓やで学校へ,Vol 49,Vol 1-4,Vol 13,Vol 9,Ep 86,,Ep 624A (1091),,,,,,
G2,1976-12,The Pop-Through Pillow,つきぬけざぶとん,Vol 184,,Vol +7,Vol 8,Ep 1086,,,,,,,,
G3,1976-12,The Badge of Gratitude,サンキューバッジ,Vol 183,,Vol +7,Vol 7,Ep 1151,,,,,,,,
G4,1976-12,The King of Base Stealers,盗塁王をめざせ,Vol 50,,Vol 13,Vol 6,Ep 414,,Ep 903A (1503),,,,,,
G5,1976-12,The Over-the-Top Overcoat,オーバーオーバー,Vol 7,Vol 3-2,Vol 13,Vol 5,Ep 144,Ep 1371,Ep 35B (70),Ep 542B (965),,,,,
G6,1976-12,Dream Dad,夢まくらのおじいさん,Vol 12,Vol 1-5,Vol 14,Vol 4,Ep 176,Ep 942,Ep 214 (354),,,,,,
TK,1976-12,What If? Box Nighttime Edition,もしもボックスで昼ふかし！？,Vol 198,,,Vol 18,Ep 1421,,Ep 544B (969),,,,,,
G1,1977-01,The Cover-Up Spray,かたづけラッカー,Vol 60,Vol 1-6,Vol 17,Vol 9,Ep 1256,,,,,,,,
G2,1977-01,The Remora Magnet,いただき小ばん,Vol 49,,Vol 13,Vol 8,Ep 246,,Ep 701A (1223),,,,,,
G3,1977-01,Big G's Special Stew,ジャイアンシチュー,Vol 49,,Vol 13,Vol 7,Ep 271,,Ep 131A (240),Ep 283A (460),Ep 548B (976),,,,
G4,1977-01,The Soul Slipper,タマシイム・マシン,Vol 51,Vol 1-4,Vol 13,Vol 6,Ep 136,Ep 940,Ep 409C (712),,,,,,
G5,1977-01,A World without Money,お金のいらない世界,Vol 49,,Vol 13,Vol 5,Ep 183,,Ep 384B (656),,,,,,
G6,1977-01,Portable Parliament,ポータブル国会,Vol 200,,Vol 15,Vol 4,Ep 167,Ep 1480,Ep 378B (644),,,,,,
G1,1977-02,The Robot Snowman,ロボット雪だるま,Vol 158,,Vol +6,Vol 9,Ep 644,,Ep 589B (1048),,,,,,
G2,1977-02,The Grab-a-Scope,手にとり望遠鏡,Vol 49,Vol 1-4,Vol 13,Vol 8,Ep 117,,Ep 618A (1081),,,,,,
G3,1977-02,The Psychic Mic,念録マイク,Vol 52,,Vol 14,Vol 7,Ep 442,,,,,,,,
G4,1977-02,The Back-to-Basicizer,もどりライト,Vol 50,Vol 3-1,Vol 13,Vol 6,Ep 112,,Ep 297B (485),,,,,,
G5,1977-02,What Happens at 7:00,七時に何かがおこる,Vol 50,,Vol 13,Vol 5,Ep 235,Ep 1218,Ep 404A (695),,,,,,
G6,1977-02,Ads by Mirror,かがみでコマーシャル,Vol 51,Vol 3-1,Vol 14,Vol 4,Ep 88,Ep 973,Ep 336B (561),Ep 814A (1390),,,,,
TK,1977-02,The Path of Evil,悪の道を進め！,Vol 53,,Vol 14,Vol 18,Ep 126,Ep 1065,Ep 150B (269),,,,,,
G1,1977-03,Go On and Hit Me,なぐられたってへっちゃらだい,Vol 145,,Vol +2,Vol 9,Ep 389,,,,,,,,
G2,1977-03,The Infinity Lasso,ナゲーなげなわ,Vol 57,Vol 1-5,Vol 16,Vol 8,Ep 124,,Ep 700B (1222),,,,,,
G3,1977-03,The Fusion Glue,合体ノリ,Vol 49,,Vol 13,Vol 7,Ep 376,,Ep 539A (958),,,,,,
G4,1977-03,The Space Simulator,ロケットそうじゅうくんれん機,Vol 50,,Vol 13,Vol 6,Ep 103,Ep 856,Ep 463A (815),,,,,,
G5,1977-03,The Tripinator,ころばし屋,Vol 50,,Vol 13,Vol 5,Ep 5,,Ep 15A (29),,,,,,
G6,1977-03,Best Dad Ever!,りっぱなパパになるぞ！,Vol 56,Vol 1-5,Vol 16,Vol 4,Ep 170,,Ep 45B (89),Ep 874B (1469),,,,,
TK,1977-03,Treasure Mountain,宝さがしごっこセット,Vol 50,,Vol 13,Vol 18,Ep 145,Ep 987,Ep 290B (472),Ep 839A (1421),,,,,
G1,1977-04,Spinners,クルリン自動車,Vol 186,,,Vol 10,Ep 388,,,,,,,,
G2,1977-04,The Time Bank,時間貯金箱,Vol 56,,Vol 16,Vol 9,Ep 252,,Ep 848B (1435),,,,,,
G3,1977-04,"Far, Far From Home",家がだんだん遠くなる,Vol 8,Vol 1-5,Vol 14,Vol 8,Ep 118,,Ep 22B (43),,,,,,
G4,1977-04,The Do-Over Device,人生やりなおし機,Vol 55,Vol 3-2,Vol 15,Vol 7,Ep 71,Ep 1295,Ep 137B (250),,,,,,
G4,1977-04,Chain Letter Club,不幸の手紙同好会,Vol 54,,Vol 15,Vol 7,Ep 305,,,,,,,,
G5,1977-04,The Infinity Pass,オールマイティーパス,Vol 54,,Vol 15,Vol 6,Ep 100,Ep 1445,Ep 4B (8),Ep 436B (764),,,,,
G6,1977-04,The Rank Patches,階級ワッペン,Vol 55,,Vol 15,Vol 5,Ep 161,,Ep 117A (219),,,,,,
TK,1977-04,It's a Cat's Cradle World,あやとり世界,Vol 56,,Vol 15,Vol 18,,,Ep 231 (379),Ep 822A (1399),,,,,
G1,1977-05,The Forced Savings Plan,むりやり貯金箱,Vol 186,,,Vol 10,Ep 462,,,,,,,,
G2,1977-05,The Four-Dimensional Pocket,四次元ポケット,Vol 57,Vol 1-5,Vol 16,Vol 9,Ep 1250,,,,,,,,
G3,1977-05,A World Without Sound,音のない世界,Vol 3,,Vol 16,Vol 8,,,,,,,,,
G4,1977-05,The Moodmaker Orchestra,ムードもりあげ楽団登場！,Vol 52,Vol 1-5,Vol 14,Vol 7,Ep 296,,Ep 14A (27),Ep 410A (713),Ep 619B (1083),,,,
G5,1977-05,The Earth Escape Plan,地球脱出計画,Vol 146,,Vol +2,Vol 6,Ep 281,,Ep 354A (597),,,,,,
G6,1977-05,The Hide-A-Room,ナイヘヤドア,Vol 54,Vol 3-4,Vol 15,Vol 5,Ep 20,Ep 1651,Ep 429B (753),,,,,,
G1,1977-06,Circus Shoes,サーカスぐつ,Vol 170,,,Vol 10,,,,,,,,,
G2,1977-06,The Railroad Crossing Kit,ふみきりセット,Vol 55,Vol 3-5,Vol 15,Vol 9,Ep 293,,Ep 695A (1213),,,,,,
G3,1977-06,The Tall Tale Teller,ホラふきご先祖,Vol 52,,Vol 14,Vol 8,Ep 106,Ep 991,Ep 380B (648),,,,,,
G4,1977-06,The Delete Key,どくさいスイッチ,Vol 17,Vol 2-5,Vol 15,Vol 7,Ep 101,Ep 1345,Ep 3 (6),Ep 328B (545),,,,,
G5,1977-06,The Virtuality Cap,実感帽,Vol 62,Vol 1-6,Vol 18,Vol 6,Ep 288,Ep 1396,Ep 731B (1272),,,,,,
G6,1977-06,Toy Car Training Center,ミニカー教習所,Vol 52,Vol 3-1,Vol 14,Vol 5,Ep 135,,,,,,,,
TK,1977-06,The Unscrewdriver,分解ドライバー,Vol 199,,,Vol 18,,,,,,,,,
G1,1977-07,Aquarium Spray,水族館ガス,Vol 186,,,Vol 10,Ep 334,,,,,,,,
G2,1977-07,Cloudswimming,雲の中のプール,Vol 19,Vol 1-5,Vol 14,Vol 9,Ep 83,,Ep 98A (186),,,,,,
G3,1977-07,Clouds and Crafts,雲ざいくで遊ぼう,Vol 58,,Vol 16,Vol 8,Ep 76,,,,,,,,
G4,1977-07,Adrift in Time,大むかし漂流記,Vol 59,,Vol 17,Vol 7,Ep 194,,Ep 37B (74),Ep 589A (1047),,,,,
G5,1977-07,The Buck-Passing Glove,タッチ手ぶくろ,Vol 59,,Vol 17,Vol 6,Ep 213,Ep 1395,,,,,,,
G6,1977-07,Paradise Indoors,へやの中の大自然,Vol 66,Vol 2-4,Vol 20,Vol 5,Ep 262,Ep 1025,Ep 445A (781),,,,,,
G1,1977-08,Waterproof Origami,防水折り紙,Vol 186,,,Vol 10,,,,,,,,,
G2,1977-08,The Ultra Armor,ウルトラよろい,Vol 58,Vol 1-5,Vol 16,Vol 9,Ep 140,,Ep 118A (221),Ep 499A (882),,,,,
G3,1977-08,The Man-Eating House,人食いハウス,Vol 53,,Vol 14,Vol 8,Ep 149,,Ep 569B (1017),,,,,,
G4,1977-08,The Candy Ranch,おかし牧場,Vol 76,Vol 1-8,Vol 24,Vol 7,Ep 220,,Ep 111B (210),Ep 493A (871),,,,,
G5,1977-08,The Dreamer TV,ゆめのチャンネル,Vol 54,Vol 1-5,Vol 15,Vol 6,Ep 138,,Ep 38A (75),Ep 505B (895),,,,,
G6,1977-08,The Sahara's No Place to Study,サハラ砂漠で勉強はできない,Vol 58,Vol 3-5,Vol 16,Vol 5,Ep 121,,Ep 342B (574),Ep 621A (1086),,,,,
TK,1977-08,African Adventure,ターザンパンツで大活躍！？,Vol 199,,,Vol 18,,,,,,,,,
G1,1977-09,The Dream Pillow,夢まくら,Vol 186,,,Vol 10,Ep 491,,,,,,,,
G2,1977-09,The Future Diary,あらかじめ日記はおそろしい,Vol 58,Vol 2-5,Vol 16,Vol 9,Ep 209,,Ep 57B (114),,,,,,
G3,1977-09,The Singer/Songwriter,シンガーソングライター,Vol 58,,Vol 16,Vol 8,Ep 1422,,Ep 710B (1236),,,,,,
G4,1977-09,"Kitty Cat, Inc.",ネコが会社を作ったよ,Vol 54,Vol 2-1,Vol 15,Vol 7,Ep 115,,Ep 97B (185),Ep 667A (1167),,,,,
G5,1977-09,The Tele-Tagger,実物射的で狙い撃ち,Vol 182,,,Vol 6,Ep 53,,,,,,,,
G6,1977-09,My Dad the Baby,パパもあまえんぼ,Vol 17,Vol 1-5,Vol 16,Vol 5,Ep 162,Ep 851,Ep 368A (623),,,,,,
G1 1977-10,1977-10,The Jack-in-the-Whatever,びっくり箱ステッキ,Vol 57,,Vol 16,Vol 10,Ep 147,,Ep 404B (696),,,,,,
G2,1977-10,The Fantasy Lens,空想レンズ,Vol 185,,,Vol 9,Ep 352,,,,,,,,
G3,1977-10,The Stickerbot Rebellion,ロボッターの反乱,Vol 64,,Vol 19,Vol 8,Ep 249,,Ep 709B (1234),,,,,,
G4,1977-10,Moving Day,あちこちひっこそう,Vol 60,Vol 3-1,Vol 17,Vol 7,Ep 207,,Ep 396B (677),,,,,,
G5,1977-10,The Invincibath,ジークフリート,Vol 182,,,Vol 6,Ep 1634,,,,,,,,
G6,1977-10,The Season Selector,オールシーズンバッジ,Vol 56,,Vol 16,Vol 5,Ep 204,Ep 1337,Ep 28A (54),Ep 729A (1267),,,,,
G1,1977-11,Uber Pepper,ばくはつこしょう,Vol 149,,Vol +3,Vol 10,Ep 314,,Ep 326A (540),Ep 751A (1300),,,,,
G2,1977-11,The Deluxifier,デラックスライト,Vol 57,,Vol 16,Vol 9,Ep 338,,Ep 366A (619),,,,,,
G3,1977-11,Noby's Finest Hour,のび太の名場面,Vol 137,,Vol 44,Vol 8,Ep 1463,,,,,,,,
G4,1977-11,The Owner Identifier,持ち主あて機,Vol 159,,Vol +6,Vol 7,Ep 247,Ep 1413,,,,,,,
G5,1977-11,True Hunger,腹ぺこのつらさ知ってるかい,Vol 137,Vol 3-6,Vol 44,Vol 6,Ep 265,,Ep 408C (709),,,,,,
G6,1977-11,The Test Talker,架空通話アダプター,Vol 155,,Vol +5,Vol 5,Ep 307,,Ep 467B (824),,,,,,
TK,1977-11,Runaway Island,無人島へ家出,Vol 52,Vol 2-4,Vol 14,Vol 18,Ep 120,Ep 1027,Ep 143 (258),Ep 622B (1088),,,,,
G1,1977-12,Santa's Chimney,サンタえんとつ,Vol 64,,Vol 19,Vol 10,Ep 1332,,,,,,,,
G2,1977-12,Inny Outy Dust,中身ポン,Vol 163,,,Vol 9,,,,,,,,,
G2,1977-12,The Great Paper War,紙工作が大あばれ,Vol 6,Vol 1-6,Vol 17,Vol 9,Ep 33,,Ep 39A (77),,,,,,
G3,1977-12,The Ticked-Off Timer,ムシャクシャカーッとしたら,Vol 136,,Vol 44,Vol 8,Ep 300,,Ep 397C (680),,,,,,
G4,1977-12,The House-Robo,家がロボットになった,Vol 60,Vol 1-6,Vol 17,Vol 7,Ep 57,Ep 1348,Ep 217B (359),Ep 640B (1122),,,,,
G5,1977-12,The Temper Heater,カッカホカホカ,Vol 158,,Vol +6,Vol 6,Ep 605,,Ep 740B (1286),,,,,,
G6,1977-12,Noby vs. Noby,ぼくを止めるのび太,Vol 142,,Vol +1,Vol 5,Ep 1472,,Ep 255B (411),,,,,,
G1,1978-01,Funbrellas,おかしなおかしなかさ,Vol 12,Vol 3-4,Vol 19,Vol 10,Ep 224,,Ep 11A (20),Ep 867B (1462),,,,,
G2,1978-01,The Treasure-Finder,たからさがしカウンター,Vol 170,,,Vol 9,Ep 1161,,,,,,,,
G3,1978-01,Kite-Dropping,空高くたこを落とせ,Vol 184,,,Vol 8,,,,,,,,,
G4,1978-01,The Walksleeper,立ちユメぼう,Vol 57,,Vol 16,Vol 7,Ep 206,,Ep 590A (1049),,,,,,
G5,1978-01,Getting Hurt without Getting Hurt,無事故でけがをした話,Vol 71,Vol 1-7,Vol 22,Vol 6,Ep 291,,,,,,,,
G6,1978-01,Personal Satellites,自家用衛星,Vol 60,,Vol 17,Vol 5,Ep 70,Ep 1378,Ep 735B (1278),,,,,,
G1,1978-02,The Bro Badges,兄弟シール,Vol 88,,Vol 28,Vol 10,Ep 289,Ep 1406,Ep 469B (828),,,,,,
G2,1978-02,Noby's Web,クモノイトン,Vol 170,,,Vol 9,Ep 344,,Ep 500A (884),,,,,,
G3,1978-02,Doublixir,バイバイン,Vol 4,Vol 2-5,Vol 17,Vol 8,Ep 231,,Ep 135A (246),Ep 497A (878),,,,,
G4,1978-02,"First Come, First Reserved",ドラやき・映画・予約ずみ,Vol 60,,Vol 17,Vol 7,Ep 38,,Ep 757B (1309),,,,,,
G5,1978-02,The Creature Teacher Glove,猛獣ならし手ぶくろ,Vol 183,,Vol +7,Vol 6,Ep 23,,Ep 881A (1477),,,,,,
G6,1978-02,The Leaflector,ドロン葉,Vol 57,Vol 2-1,Vol 16,Vol 5,Ep 128,Ep 938,Ep 67A (130),Ep 293B (477),,,,,
G1,1978-03,The Springbringer Fan,はるかぜうちわ,Vol 186,,,Vol 10,Ep 1164,,,,,,,,
G2,1978-03,The Talkspray,モノモース,Vol 57,Vol 1-5,Vol 16,Vol 9,Ep 261,Ep 1398,Ep 846B (1432),,,,,,
G3,1978-03,"The ""Open! Sez Me"" Key",ゴマロック,Vol 184,,,Vol 8,Ep 221,,,,,,,,
G4,1978-03,Vroom Vroom Vacuum,ドライブはそうじ機に乗って,Vol 61,,Vol 18,Vol 7,Ep 292,Ep 1657,Ep 216B (357),Ep 639B (1120),,,,,
G5,1978-03,The Muscle Controller,筋肉コントローラー,Vol 150,,Vol +3,Vol 6,Ep 276,,Ep 882B (1478),,,,,,
G6,1978-03,The Daruma Doll,あの日あの時あのダルマ,Vol 62,Vol 3-1,Vol 18,Vol 5,Ep 61,Ep 908,Ep 157B (281),,,,,,
G1,1978-Sp,The Crayon-Cutter,きりがみクレヨン,Vol 187,,,Vol 11,,,,,,,,,
G1,1978-04,The Butterflapter,バタバタフライ,Vol 161,,,Vol 11,Ep 337,,,,,,,,
G2,1978-04,R/C Army,ラジコンでやっつけろ,Vol 170,,,Vol 10,Ep 1105,,,,,,,,
G3,1978-04,The Hundred Trials Timer,百苦タイマー,Vol 200,Vol 2-5,Vol 18,Vol 9,Ep 285,Ep 1391,,,,,,,
G4,1978-04,U.F. Yo!,未知とのそうぐう機,Vol 9,Vol 2-2,Vol 17,Vol 8,Ep 46,,Ep 66B (129),Ep 691B (1207),,,,,
G5,1978-04,Noby's Marathon,のび太が九州まで走った！！,Vol 9,,Vol 18,Vol 7,Ep 272,,,,,,,,
G6,1978-04,The Stuporsonic Verminator,驚音波発振機,Vol 16,,Vol 17,Vol 6,Ep 264,Ep 1390,Ep 4A (7),,,,,,
G1,1978-05,Mini Garage,ミニカーガレージ,Vol 170,,,Vol 11,,,,,,,,,
G2,1978-05,The Thought Projector,イメージ灯,Vol 167,,,Vol 10,Ep 243,,,,,,,,
G3,1978-05,The Psychic Robot,テレパスロボット,Vol 185,,,Vol 9,Ep 258,,,,,,,,
G4,1978-05,The Bug Pellets,無敵コンチュー丹,Vol 64,,Vol 19,Vol 8,Ep 290,Ep 1076,Ep 29B (57),Ep 557B (992),,,,,
G5,1978-05,The Starring Roller,主役はめこみ機,Vol 59,,Vol 17,Vol 7,Ep 227,,Ep 677B (1186),,,,,,
G6,1978-05,Weekly Nobita,週刊のび太,Vol 10,,Vol 17,Vol 6,Ep 392,,Ep 632A (1107),,,,,,
G1,1978-06,Paper House,ふしぎなかみのいえ,Vol 170,,,Vol 11,,,,,,,,,
G2,1978-06,The Plant Pen,植物ペン,Vol 170,,,Vol 10,Ep 397,,Ep 686B (1199),,,,,,
G3,1978-06,Noby's Personal Theater,のび太の部屋でロードショー,Vol 61,,Vol 18,Vol 9,Ep 342,,,,,,,,
G4,1978-06,My Little Newsroom,新聞社ごっこセット,Vol 157,,Vol +6,Vol 8,Ep 273,Ep 1775,Ep 712B (1240),,,,,,
G5,1978-06,The Yes-M'Lord Drops,コーモンじょう,Vol 62,,Vol 18,Vol 7,Ep 298,,,,,,,,
G6,1978-06,The Girlfriend Catalog,ガールフレンドカタログ,Vol 12,Vol 2-3,Vol 18,Vol 6,Ep 116,,Ep 144B (260),,,,,,
G1,1978-07,The Multi-planter,フエールうえ木ばち,Vol 187,,,Vol 11,Ep 451,,,,,,,,
G2,1978-07,The Ultra Super Batteries,ウルトラスーパー電池,Vol 171,,,Vol 10,Ep 326,,Ep 912B (1516),,,,,,
G3,1978-07,The Make-You-Sweatpants,ムリヤリトレパン,Vol 59,Vol 1-6,Vol 17,Vol 9,Ep 286,Ep 1407,Ep 486A (858),,,,,,
G4,1978-07,Take Care in the Air,空であそんじゃあぶないよ,Vol 59,,Vol 17,Vol 8,Ep 259,,Ep 884B (1481),,,,,,
G5,1978-07,The Room Swimmer,ルームスイマー,Vol 61,Vol 1-6,Vol 18,Vol 7,Ep 500,,Ep 489A (864),,,,,,
G6,1978-07,Topsy Turvy Planet,あべこべ惑星,Vol 7,,Vol 17,Vol 6,Ep 1199,,Ep 175 (301),Ep 610B (1073),,,,,
G1,1978-08,The Thunder Drum,かみなりだいこ,Vol 187,,,Vol 11,Ep 1166,,Ep 790B (1357),,,,,,
G2,1978-08,The Indoor Express,ブルートレインはぼくの家,Vol 81,,Vol 25,Vol 10,Ep 365,,Ep 259B (417),,,,,,
G3,1978-08,The Favori-Tree,ひい木,Vol 61,,Vol 18,Vol 9,Ep 198,Ep 1375,Ep 308B (506),Ep 858A (1450),,,,,
G4,1978-08,Animal Training,動物くんれん屋,Vol 152,,Vol +4,Vol 8,Ep 393,,Ep 283B (461),,,,,,
G5,1978-08,King of the Space,宇宙ターザン,Vol 58,,Vol 16,Vol 7,Ep 133–134,,Ep 43C (86),,,,,,
G6,1978-08,Strolling on the Seabed,海に入らず海底を散歩する方法,Vol 63,,Vol 19,Vol 6,Ep 436,,Ep 178A (305),Ep 567B (1012),,,,,
G1,1978-09,Yacht Adventure,ヨット大冒険,Vol 187,,,Vol 11,Ep 402,,Ep 813A (1389),,,,,,
G2,1978-09,The Audio Camera,サウンドカメラ,Vol 148,,Vol +3,Vol 10,Ep 356,,,,,,,,
G3,1978-09,Canned Seasons,季節カンヅメ,Vol 137,Vol 3-6,Vol 44,Vol 9,Ep 406,,,,,,,,
G4,1978-09,Space Wars in the Attic,天井うらの宇宙戦争,Vol 63,,Vol 19,Vol 8,Special (Ep 491A),,Ep 12C (24),Ep 491 (868),,,,,
G5,1978-09,The Pick-a-Door,プッシュドア,Vol 66,,Vol 20,Vol 7,Ep 248,,Ep 614A (1077),,,,,,
G6,1978-09,The Little House in the Glacier,大氷山の小さな家,Vol 61,,Vol 18,Vol 6,Ep 464,,Ep 223B (368),,,Nobita's Great Adventure in the Antarctic Kachi Kochi,,,
G1,1978-10,R/C Clay,ラジコンねんど,Vol 188,,,Vol 11,Ep 357,,,,,,,,
